date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:11	44497/44497	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:11%20GMT	http://themestarz.net/html/propper/assets/img/floor-plan.jpg	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/floor-plan.jpg	(from http://themestarz.net/html/propper/index-v1.html)
16:39:12	7199/7199	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:34%20GMT	http://themestarz.net/html/propper/assets/js/jquery-migrate-1.2.1.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/jquery-migrate-1.2.1.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:19	36868/36868	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:09:07%20GMT	http://themestarz.net/html/propper/assets/bootstrap/js/bootstrap.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/js/bootstrap.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:22	85630/85630	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:33%20GMT	http://themestarz.net/html/propper/assets/js/jquery-2.2.1.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/jquery-2.2.1.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:22	315587/315587	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:52%20GMT	http://themestarz.net/html/propper/assets/img/gallery-big-03.jpg	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/gallery-big-03.jpg	(from http://themestarz.net/html/propper/index-v1.html)
16:39:22	126971/126971	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:14%20GMT	http://themestarz.net/html/propper/assets/img/footer-bg.jpg	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/footer-bg.jpg	(from http://themestarz.net/html/propper/index-v1.html)
16:39:22	21068/21068	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:40%20GMT	http://themestarz.net/html/propper/assets/js/jquery.validate.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/jquery.validate.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:24	4158/4158	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:44%20GMT	http://themestarz.net/html/propper/assets/js/scrollReveal.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/scrollReveal.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:24	3801/3801	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:43%20GMT	http://themestarz.net/html/propper/assets/js/readmore.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/readmore.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:25	20947/20947	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:37%20GMT	http://themestarz.net/html/propper/assets/js/jquery.magnific-popup.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/jquery.magnific-popup.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:26	12363/12363	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:42%20GMT	http://themestarz.net/html/propper/assets/js/pace.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/pace.min.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:26	3258/3258	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:28%20GMT	http://themestarz.net/html/propper/assets/img/map-marker.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/map-marker.png	(from http://themestarz.net/html/propper/index-v1.html)
16:39:26	40401/40401	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:41%20GMT	http://themestarz.net/html/propper/assets/js/owl.carousel.min.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/owl.carousel.min.js	(from http://themestarz.net/html/propper/index-v1.html)
